posting_year,posting_month,rows,period,partition
2025,1,41,2025-01,TRAIN_DEV
2025,2,55,2025-02,TRAIN_DEV
2025,3,52,2025-03,TRAIN_DEV
2025,4,41,2025-04,TRAIN_DEV
2025,5,64,2025-05,TRAIN_DEV
2025,6,57,2025-06,TRAIN_DEV
2025,7,57,2025-07,TRAIN_DEV
2025,8,39,2025-08,TRAIN_DEV
2025,9,47,2025-09,TRAIN_DEV
2025,10,44,2025-10,TRAIN_DEV
2025,11,59,2025-11,TRAIN_DEV
2025,12,68,2025-12,TRAIN_DEV
2026,1,271,2026-01,TRAIN_DEV
2026,2,306,2026-02,TRAIN_DEV
2026,3,298,2026-03,LOCKED_TEST
