fold,validation_month,raw_feature,importance
1,202510,job_title,-67.97576208513601
1,202510,job_category,47783.36154975073
1,202510,years_of_experience,17613.42855913025
1,202510,education_required,123.487824675316
1,202510,city,-456.69473755411127
1,202510,country,-60.42309253247004
1,202510,remote_work,-140.06899350649473
1,202510,company_size,-106.70589826839932
1,202510,industry,290.29175685425434
1,202510,demand_score,195.8606150793621
1,202510,benefits_score_10,281.75236742424204
1,202510,required_skills,-358.22256042569006
1,202510,skill_count,41.07503607503895
2,202511,job_title,-73.17281623743474
2,202511,job_category,62196.02438122142
2,202511,years_of_experience,20296.76594180302
2,202511,education_required,86.23365617433228
2,202511,city,-77.61253576931631
2,202511,country,-1.9325060532682983
2,202511,remote_work,-20.533948748980038
2,202511,company_size,-148.59206012913273
2,202511,industry,97.45717312348643
2,202511,demand_score,-329.1060835351054
2,202511,benefits_score_10,114.96584947537849
2,202511,required_skills,-411.9372126225935
2,202511,skill_count,549.0837888570932
3,202512,job_title,144.33342086834818
3,202512,job_category,48839.44063667133
3,202512,years_of_experience,9481.247388538746
3,202512,education_required,-93.9303221288501
3,202512,city,366.7121848739498
3,202512,country,-40.693627450978965
3,202512,remote_work,-175.01825105042008
3,202512,company_size,292.2465131886056
3,202512,industry,-39.830707282908406
3,202512,demand_score,-235.73837243230628
3,202512,benefits_score_10,-34.90702322595462
3,202512,required_skills,-875.8336688842192
3,202512,skill_count,-269.0985936041052
4,202601,job_title,85.95742180636262
4,202601,job_category,54571.92197542107
4,202601,years_of_experience,13636.992774676122
4,202601,education_required,18.695231505884294
4,202601,city,62.3701531658171
4,202601,country,-35.12656314063133
4,202601,remote_work,-34.948942176111814
4,202601,company_size,111.45401198330364
4,202601,industry,-124.3635491712048
4,202601,demand_score,223.24782185321783
4,202601,benefits_score_10,160.18921323141512
4,202601,required_skills,256.5508701272083
4,202601,skill_count,2.224763116135364
5,202602,job_title,-56.76606105405335
5,202602,job_category,55097.05325871931
5,202602,years_of_experience,13798.704501834398
5,202602,education_required,-31.45018933499341
5,202602,city,-138.29537555763454
5,202602,country,-269.4677579365107
5,202602,remote_work,10.938119229171207
5,202602,company_size,-105.69703159041455
5,202602,industry,50.059734541962825
5,202602,demand_score,11.74990185468232
5,202602,benefits_score_10,-137.7529104655332
5,202602,required_skills,516.8181473346922
5,202602,skill_count,52.15743982778076
