experiment,feature_count_raw,CV_MAE_mean,CV_RMSE_mean,CV_R2_mean,MAE_improvement_vs_A0_pct
A1_PLUS_YEARS,11,12356.7998492064,22530.07457184735,0.8821637271753622,46.318862271214876
A6_SKILLS,13,12739.257847763502,23064.544762153248,0.8766892128233457,44.65736570684851
A2_EXPERIENCE_BUCKET,11,22888.148583091963,37219.793889945126,0.6883562707741985,0.5679567979109913
A0_CONSERVATIVE_CORE,10,23018.88591042359,37424.18440812533,0.6849450422335825,0.0
