model,is_baseline,CV_MAE_mean,CV_MAE_std,CV_RMSE_mean,CV_RMSE_std,CV_R2_mean,CV_R2_std,CV_MedAE_mean,fit_seconds_mean,predict_seconds_mean
Random Forest,False,12593.943363455603,2886.9350572116527,22923.07560338982,6464.582420626509,0.8783358761459304,0.04726774033399464,5215.724206349196,0.3785326800003531,0.024361840001074598
Gradient Boosting,False,14407.533975342903,1497.6230270666144,25587.380561587725,3709.6198754952197,0.8528128320979853,0.021858803626752722,7419.936229328278,0.2712242799985688,0.012844380001479295
Ridge Regression,False,25489.46768202228,3220.365944464077,35235.58759711169,3979.2276931906545,0.7183470955913129,0.043651741530024525,16840.72397969431,0.026344500000413974,0.012018380000517937
Linear Regression,False,28826.836651064874,3380.459325082006,38680.45953173423,4434.132611666567,0.6575988176187463,0.07351789017723133,20606.299948277083,0.05039917999965837,0.012551240000902908
SVR (RBF),False,53564.08731283627,5116.530075744999,67915.90613419078,5909.808599680348,-0.03992387808820528,0.038011447522883636,42895.73954827165,0.04524658000154887,0.02940785999962827
Dummy Median,True,54176.56788143156,5071.0247048476485,68492.87168759192,5891.824804690062,-0.05777474635551498,0.03721421206741802,43600.0,0.031162720001157142,0.01784348000001046
