model,is_baseline,CV_MAE_mean,CV_MAE_std,CV_RMSE_mean,CV_RMSE_std,CV_R2_mean,CV_R2_std,CV_MedAE_mean,fit_seconds_mean,predict_seconds_mean
Random Forest,False,12593.943363455603,2886.9350572116527,22923.07560338982,6464.582420626509,0.8783358761459304,0.04726774033399464,5215.724206349196,0.6018554400186986,0.0230288399849087
Gradient Boosting,False,14407.533975342903,1497.6230270666144,25587.380561587725,3709.6198754952197,0.8528128320979853,0.021858803626752722,7419.936229328278,0.45888556002173575,0.01125978003256023
Ridge Regression,False,25489.46768202228,3220.3659444640734,35235.58759711169,3979.227693190656,0.7183470955913129,0.043651741530024546,16840.723979694267,0.040713099972344936,0.009563840017654002
Linear Regression,False,28826.83665106487,3380.4593250820153,38680.459531734225,4434.1326116665805,0.6575988176187464,0.07351789017723111,20606.299948277127,0.052229360002093016,0.009750799997709692
SVR (RBF),False,53564.08731283627,5116.530075744999,67915.90613419078,5909.808599680348,-0.03992387808820528,0.038011447522883636,42895.73954827165,0.056609640014357865,0.030351799982599913
Dummy Median,True,54176.56788143156,5071.0247048476485,68492.87168759192,5891.824804690062,-0.05777474635551498,0.03721421206741802,43600.0,0.02205870000179857,0.010578119987621903
